matrix,format,threads,schedule,percentile_90,average,min_time,max_time,speedup,efficiency
1138_bus,COO,1,sequential,0.018404,0.0198665,0.018223,0.033973,0,0
1138_bus,CSR,1,sequential,0.027345,0.0261666,0.025167,0.029987,0.67303,100
1138_bus,CSR,1,omp_static,0.029567,0.0295455,0.027988,0.038551,0.924849,92.4849
1138_bus,CSR,1,omp_dynamic,0.05277,0.0525308,0.035991,0.08803,0.518192,51.8192
1138_bus,CSR,1,omp_guided,0.030481,0.02995,0.028414,0.038083,0.897116,89.7116
1138_bus,CSR,1,pthreads,0.047378,0.0486116,0.042304,0.085123,0.577167,57.7167
1138_bus,CSR,2,omp_static,0.026874,0.0462752,0.015838,0.270774,1.01753,50.8763
1138_bus,CSR,2,omp_dynamic,0.045851,0.0434823,0.040397,0.04964,0.596388,29.8194
1138_bus,CSR,2,omp_guided,0.021715,0.0173218,0.014667,0.023971,1.25927,62.9634
1138_bus,CSR,2,pthreads,0.050402,0.0415678,0.034253,0.061739,0.542538,27.1269
1138_bus,CSR,4,omp_static,0.008138,0.0098739,0.007321,0.031319,3.36016,84.0041
1138_bus,CSR,4,omp_dynamic,0.035338,0.0357668,0.032635,0.045852,0.773813,19.3453
1138_bus,CSR,4,omp_guided,0.01333,0.0121246,0.010967,0.013426,2.05139,51.2847
1138_bus,CSR,4,pthreads,0.066093,0.095063,0.055098,0.420815,0.413735,10.3434
1138_bus,CSR,8,omp_static,0.00912,0.0130682,0.008712,0.050685,2.99836,37.4794
1138_bus,CSR,8,omp_dynamic,0.022618,0.0233446,0.020139,0.046106,1.20899,15.1124
1138_bus,CSR,8,omp_guided,0.011244,0.0109008,0.010347,0.011313,2.43196,30.3995
1138_bus,CSR,8,pthreads,4.82378,1.7411,0.135361,7.17417,0.00566879,0.0708599
1138_bus,CSR,16,omp_static,0.072139,0.0724807,0.03865,0.189466,0.37906,2.36912
1138_bus,CSR,16,omp_dynamic,0.083642,0.0760218,0.059575,0.085368,0.326929,2.04331
1138_bus,CSR,16,omp_guided,0.074999,0.0674712,0.055901,0.0752,0.364605,2.27878
1138_bus,CSR,16,pthreads,0.415073,0.299217,0.23582,0.416121,0.06588,0.41175
1138_bus,CSR,32,omp_static,0.137043,0.13807,0.099452,0.289624,0.199536,0.62355
1138_bus,CSR,32,omp_dynamic,0.175979,0.156628,0.121641,0.176471,0.155388,0.485587
1138_bus,CSR,32,omp_guided,0.165734,0.151312,0.133398,0.181446,0.164993,0.515604
1138_bus,CSR,32,pthreads,1.20008,0.787033,0.521165,1.54485,0.022786,0.0712061
1138_bus,CSR,64,omp_static,1.25845,0.489928,0.217591,1.57858,0.0217291,0.0339517
1138_bus,CSR,64,omp_dynamic,0.450717,0.312703,0.220055,0.451775,0.06067,0.0947969
1138_bus,CSR,64,omp_guided,0.326566,0.268481,0.18724,0.33334,0.083735,0.130836
1138_bus,CSR,64,pthreads,1.95081,1.40009,1.03615,2.52908,0.0140172,0.0219019
