matrix,format,threads,schedule,percentile_90,average,min_time,max_time,speedup,efficiency
fl2010,COO,1,sequential,9.11572,8.97534,8.55296,9.15462,0,0
fl2010,CSR,1,sequential,14.1217,13.8984,13.568,14.284,0.645509,100
fl2010,CSR,1,omp_static,16.9897,15.1904,14.2176,17.6026,0.831196,83.1196
fl2010,CSR,1,omp_dynamic,16.4533,16.5828,16.0391,19.5288,0.85829,85.829
fl2010,CSR,1,omp_guided,14.3886,14.2541,14.0554,14.6903,0.981453,98.1453
fl2010,CSR,1,pthreads,12.5356,12.4402,12.187,12.8919,1.12653,112.653
fl2010,CSR,2,omp_static,13.8183,10.2146,7.27264,14.0995,1.02196,51.0979
fl2010,CSR,2,omp_dynamic,19.5773,19.1908,17.4918,21.0987,0.721331,36.0666
fl2010,CSR,2,omp_guided,7.28231,7.13365,6.94533,7.32201,1.93918,96.9592
fl2010,CSR,2,pthreads,7.44809,7.20426,6.70036,7.60793,1.89602,94.8011
fl2010,CSR,4,omp_static,4.96718,4.38852,3.75897,6.63172,2.84301,71.0753
fl2010,CSR,4,omp_dynamic,17.3626,16.3718,14.9698,19.7056,0.813345,20.3336
fl2010,CSR,4,omp_guided,3.81852,3.79245,3.73072,4.0076,3.69823,92.4557
fl2010,CSR,4,pthreads,6.58526,5.08008,4.17969,6.59576,2.14445,53.6111
fl2010,CSR,8,omp_static,5.07893,4.70409,3.68232,11.1045,2.78046,34.7557
fl2010,CSR,8,omp_dynamic,15.3586,12.4576,10.713,16.4981,0.919466,11.4933
fl2010,CSR,8,omp_guided,4.36855,3.92365,3.69945,4.77251,3.23259,40.4074
fl2010,CSR,8,pthreads,8.26923,5.84819,4.02252,9.2117,1.70775,21.3468
fl2010,CSR,16,omp_static,5.18495,4.51986,3.97339,5.85979,2.7236,17.0225
fl2010,CSR,16,omp_dynamic,11.629,11.503,10.6028,15.3809,1.21436,7.58972
fl2010,CSR,16,omp_guided,4.41336,4.12924,3.86574,4.43221,3.19977,19.9986
fl2010,CSR,16,pthreads,4.63488,4.35709,4.07962,5.21755,3.04684,19.0428
fl2010,CSR,32,omp_static,5.78597,4.4796,3.8037,6.08676,2.44069,7.62715
fl2010,CSR,32,omp_dynamic,12.8219,11.8243,10.6705,16.3331,1.10138,3.44181
fl2010,CSR,32,omp_guided,4.6179,4.54454,4.08359,6.58686,3.05805,9.55639
fl2010,CSR,32,pthreads,4.75419,4.39154,4.19991,4.91004,2.97038,9.28244
fl2010,CSR,64,omp_static,5.17872,4.50137,3.91344,5.88919,2.72688,4.26074
fl2010,CSR,64,omp_dynamic,12.4905,11.8926,10.7386,15.7598,1.1306,1.76657
fl2010,CSR,64,omp_guided,4.36387,4.22428,4.03368,4.59976,3.23606,5.05634
fl2010,CSR,64,pthreads,4.90412,4.79576,4.41062,5.14097,2.87957,4.49932
